Date,Title,Number,Scripture Excerpt,Scripture Reference,Devotional Text
04-11,04-11,101,"Please listen, O Shepherd of Israel, you who lead Israel like a flock. O God, enthroned above the cherubim, display your radiant glory to Ephraim, Benjamin, and Manasseh. Show us your mighty power. Come to rescue us! ",Psalm 80:1-2,"The most powerful illustration of God’s presence going before His people is that of the Israelites as they crossed the Jordan with the ark of the covenant leading them. The ark represented God’s throne, His power, and His might. It went ahead of Israel into the battle at Jericho and brought the Israelites victory. Indeed, if the ark had not gone before them, they would have been on their own.

Whatever impossible circumstance may stand before you will surely be defeated as God’s presence arrives in the battle. Joshua 3:13 says that when the feet of the priests who carried the ark touched the water, the flow of water was cut off upstream and the river piled up there in a heap.

As you come to your “Jordan,” set your foot into the water. How dare the proud waters defy God’s presence and power! The foot of faith carries the arm of omnipotence. One little step of faith releases all the power of God into your situation. Let God’s face shine against the darkness!"
04-12,04-12,102,"This is a true saying, and everyone should believe it: Christ Jesus came into the world to save sinners—and I was the worst of them all. ",1 Timothy 1:15,"Paul’s teaching about sinners focuses on God’s real purpose in sending Jesus: to save those who are lost. Miserable, undone sinners are “the stuff” from which Jesus makes miracles. Often the lower a sinner sinks, the greater the glory God receives when the sinner repents.

Rahab, the prostitute in Jericho, was probably the lowest social outcast in the city (Joshua 6:17). However, God was willing to spare her and her entire family because she was repentant. In God’s sovereign choice to use her, Rahab first was spared from destruction. Then she actually became one of the four women mentioned in Matthew 1 as a direct ancestor of King David and Jesus Christ Himself (v. 5).

Can you see how God loves to take the “things despised by the world, things counted as nothing at all . . . to bring to nothing what the world considers important, so that no one can ever boast in the presence of God” (1 Corinthians 1:28-29)? He will run to meet any sinner who comes to his senses and returns to Him saying, “Father, I have sinned” (Luke 15:21). Let us rejoice with the angels today over even one sinner who repents!"
04-13,04-13,103,"For the love of money is at the root of all kinds of evil. And some people, craving money, have wandered from the faith and pierced themselves with many sorrows. ",1 Timothy 6:10,"Money tests our hearts, our motives, and our character. What we do with it will prove to God whether He can entrust us with the “true riches of heaven” spoken of in Luke 16:11. The spirit of covetousness ruled the Pharisees. The Lord warned them that they could not “serve both God and money” (v. 13), but verse 14 says they “dearly loved their money,” ignoring the Lord’s stern admonition to them.

The principle of covetousness is immortalized in the story of Achan in the Old Testament. God gave explicit instructions to Joshua that no one was to touch anything of value in Jericho. The entire city was God’s, dedicated to Him as the holy firstfruits of the Canaan conquest. Achan’s hand, however, could not resist grasping a bar of gold, coins of silver, and a beautiful Babylonian coat. His sin followed a familiar pattern: “I saw . . . I wanted . . . I took them . . . They are hidden” (Joshua 7:21).

Our eyes can look enviously on things that do not belong to us, and covetousness can lead us to “take” and “hide” that which is not ours. How much better to follow the wisdom of Luke 16:9: “I tell you, use your worldly resources to benefit others and make friends. In this way, your generosity stores up a reward for you in heaven.”

Use worldly wealth; don’t let it use you!"
04-14,04-14,104,"“Come,” they say, “let us wipe out Israel as a nation. We will destroy the very memory of its existence.” ",Psalm 83:4,"Satan forms alliances with those who desire to “take possession of the pasturelands of God” (Psalm 83:12 NIV). Joshua and his forces faced enemies who united in one common pursuit: to extinguish the light of God’s people from the face of the earth (Joshua 10:3-4). Though our enemies join forces to destroy us, they are still no match for our God.

In incredible fashion, God loosed the destructive forces of nature against Israel’s enemies. First, He threw hailstones from heaven to smite the Amorites. Then, as though the enemy could have escaped such destruction, God actually stopped the sun and moon for the better part of an entire day to provide enough light for Israel to pursue the fleeing armies (Joshua 10:11-14).

There is no stopping our Commander-in-Chief. The Lord will make our enemies blow away “like whirling dust, like chaff before the wind” (Psalm 83:13)! Have you ever watched the whirling dust of a dust storm? It flies so fast that it only touches the ground occasionally. Pursue your enemies; God will “blow them away.” Though they have declared war on God, they are no match for His anger. Remember: He is the “Most High, supreme over all the earth” (v. 18)."
04-15,04-15,105,"How lovely is your dwelling place, O Lord Almighty. . . . Even the sparrow finds a home there, and the swallow builds her nest and raises her young—at a place near your altar, O Lord Almighty, my King and my God! ","Psalm 84:1, 3","Everyone, no matter how small or insignificant, can be included in God’s house. Can you imagine God taking time to record that He is concerned about a swallow’s having a place to nest in His house? God’s house is big and wide. It has room for anyone who desires to come under His shadow and eat from His table. And the fare in God’s house is delightful!

Psalm 84 says that the people in God’s house are always praising Him (v. 4). They are always full of strength (v. 7), drawing fresh energy like a tree planted by the waters. Their prayers are always heard (v. 8) because they are so close to Him that praying is as natural as breathing. Furthermore, their needs are always met (v. 11).

Luke 17:15-16 tells us how the lowly Samaritan leper found a place in God’s house. Being a foreigner, he was not allowed to enter the earthly temple and show himself to the priest. Instead, he found an even better place at the feet of Jesus, the High Priest over the house of God.

Come in and dwell in the courts of the Lord. The door is open, and there will always be a place for you!"
04-16,04-16,106,"So that day Moses promised [Caleb], “The land of Canaan on which you were just walking will be your special possession and that of your descendants forever, because you wholeheartedly followed the Lord my God.” ",Joshua 14:9,"Caleb was a man of unrelenting pursuit. His eyes had seen a mountain, and Moses had given him a promise. Although he was now eighty-five years old, his resolve and desire to possess the promise were undiminished. He said to Joshua, “So I’m asking you to give me the hill country that the Lord promised me” (Joshua 14:12). Then this elderly man of faith promptly went in and drove out the giants who lived there!

Forty-five years of waiting did nothing to daunt this man’s purposes in God. How often do we “circle the mountain” one time and then decide it is not the will of God for us to receive what we need? In many instances recorded in the Bible, people of faith had to persevere in order to receive the promise. For example, Elijah prayed seven times before he saw the cloud of rain, and Joshua marched seven days until the walls of Jericho toppled.

In the parable of the importuning widow (Luke 18:5), Jesus taught the importance of persistence. If an unjust judge would eventually grant the request of a persistent widow, how much more will a compassionate God answer the prayers of His righteous saints?

Pursue your dream. And until the dream comes to pass, continue to proclaim, “Give me this hill country!”"
04-17,04-17,107,"Be merciful, O Lord, for I am calling on you constantly. Give me happiness, O Lord, for my life depends on you. ",Psalm 86:3-4,"Like Caleb, Bartimaeus was a man of persistence. He refused to stop calling out for mercy even when others demanded that he be quiet (Luke 18:39). He knew that Jesus was “so good, so ready to forgive, so full of unfailing love” (Psalm 86:5) to all who called on His name.

To get the attention of this God of mercy, your call of faith must never grow weary but must remain fervent. Something about seriousness attracts God’s compassion. A halfhearted request may impress the world, but God knows when you have reached a place of desperation.

Bartimaeus was tired of blindness and cared nothing about public opinion. His fervent pleading drew the attention of the Son of God, and his miracle brought much glory to God. The woman with the issue of blood showed the same determination when she pressed in to touch the hem of Jesus’ garment.

Remember the words of Psalm 86:17: “Send me a sign of your favor. Then those who hate me will be put to shame, for you, O Lord, help and comfort me.” Keep calling out fervently, for the God of mercy is listening."
04-18,04-18,108,"Then Joshua asked them, “How long are you going to wait before taking possession of the remaining land the Lord, the God of your ancestors, has given to you?” ",Joshua 18:3,"Joshua rebuked the seven tribes who had not yet asserted their victory over the Canaanites. Why? Like many of us, they were waiting for God, while in reality God was waiting for them! Joshua’s rebuke to the Israelites was that though God had already given them the land, they refused to pay the price to possess it.

Similarly, the lazy steward of Luke 19:20 demonstrated no initiative to become involved in the risky, dangerous world of investment. He simply took the money his master had given him and hid it away. Though he blamed his master for his lack of effort, the real fault lay with him.

God has given you certain talents and gifts, but He will never force you to use them. Yes, it will cost you something to use your talents, and you may even fail once or twice. You will have to practice, sacrifice, and learn, but you can do all things through Christ who strengthens you (Philippians 4:13).

Step out of the boat and onto the water as Peter did. Your eternal reward depends upon your assertiveness, so stop being passive and go take a few cities!"
04-19,04-19,109,"Hope deferred makes the heart sick, but when dreams come true, there is life and joy. ",Proverbs 13:12,"Christ certainly felt the burden of a city that refused His grace (Luke 19:41). Jerusalem had every opportunity to repent, having seen great miracles and having heard the Lord’s greatest sermons. The knowledge that Jerusalem would finally reject and crucify Him caused Jesus to weep over a lost opportunity.

Paul also felt heartsick over Israel’s rejection of the Gospel: “My heart is filled with bitter sorrow and unending grief for my people, my Jewish brothers and sisters. I would be willing to be forever cursed—cut off from Christ!—if that would save them” (Romans 9:2-3).

Have you ever thought that a certain person would surely repent after hearing a particular sermon or experiencing an especially painful situation in his life, and yet he did not? Intercession can arise from deferred hope, knowing that God is waiting to bless, but human beings are resisting. The pain and agony of watching others miss God’s best in their lives should be turned into a continual prayer on their behalf.

Keep on standing for your lost loved ones. As long as they are alive and breathing, there is still hope. Imagine the joy you will experience when they turn their lives over to God!"
04-20,04-20,110,The stone rejected by the builders has now become the cornerstone. ,Luke 20:17,"Jesus is the Cornerstone. A cornerstone is a large, immovable stone that sets the direction for an entire building. Trying to test and move Jesus by questions and tricks was impossible—a point the Pharisees amply proved. He is unchangeable Truth, the Rock of integrity and honesty. If you try to move Him or persuade Him to change His standard, you will be crushed (v. 18) as that Stone falls on you. You can’t go around Him, under Him, or over Him.

Proverbs 13:15 says, “A person with good sense is respected; a treacherous person walks a rocky road.” Being treacherous means you’re trying to push God’s truth out of your life! Why not build on the truth rather than trying to budge it? Don’t alter it, try to move it, or break it. Fall upon that Stone and let Him break your will to pieces. Then allow the Holy Spirit to build your life upon the foundation of eternal truth.

Align the walls of your life to match the direction of the Cornerstone. A life built upon His truth will last for all eternity. He will never change. Isn’t it time you did?"
04-21,04-21,111,"I have allotted to you as an inheritance all the land of the nations yet unconquered, as well as the land of those we have already conquered—from the Jordan River to the Mediterranean Sea in the west. ",Joshua 23:4,"Although the Israelites had been granted the victory, it still took them a long time to subdue their enemies. “Little by little” and “inch by inch” is the pattern for gaining the territory promised to you. Sometimes your progress may be very slow, but you must fight on because every enemy you leave in your territory will become “a pain in your side and a thorn in your eyes” (Joshua 23:13).

Christ Himself is now seated at the right hand of God until He makes your enemies a footstool for your feet (Luke 20:43). Though the battle may be long, you are assured a victory in the end: “Each one of you will put to flight a thousand of the enemy, for the Lord your God fights for you, just as he has promised” (Joshua 23:10). Fight on until every promise from God comes true, for surely the enemy who contests you is trying to resist the Word of God. The promise in Psalm 89:23 is clear: “I will beat down his adversaries before him and destroy those who hate him.”

In the midst of the long battle, remember that your character is being transformed. “Count it all joy” . . . your patience is growing (James 1:2 KJV)!"
04-22,04-22,112,And Jerusalem will be conquered and trampled down by the Gentiles until the age of the Gentiles comes to an end. ,Luke 21:24,"Jesus saw a terrible scene coming to Jerusalem in the not-too-distant future. He saw the Roman legions invading Jerusalem and completely destroying it in A.D. 70. Josephus, the Jewish historian, reported that more than one million Jews died during this invasion, thousands of them by crucifixion outside of Jerusalem. The city was so leveled that a plow was pulled across it from side to side. David also foretold this horrible event: “You have renounced your covenant with him, for you have thrown his crown in the dust. You have broken down the walls protecting him and laid in ruins every fort defending him” (Psalm 89:39-40).

The price for rejecting truth is high, and history, unfortunately, is strewn with the wreckage of civilizations that did just that. Joshua told the Israelites that if they forsook the Lord, He would turn against them, bring disaster on them, and make an end of them (Joshua 24:20). God gives a season of opportunity to repent, but then, like a potter fashioning his pot, He destroys the vessel and makes another.

Determine to be like Joshua, who said, “But as for me and my family, we will serve the Lord” (Joshua 24:15). History will prove you right!"
04-23,04-23,113,You spread out our sins before you—our secret sins—and you see them all. ,Psalm 90:8,"Secret sins will always be exposed in the light of God’s presence. Judas thought he would make a profit by selling the knowledge of Christ’s whereabouts for thirty pieces of silver (Matthew 26:14-16).

The sin of the love of money (1 Timothy 6:10) has deceived millions into living only for this life. Moses instructed Israel, “Teach us to make the most of our time, so that we may grow in wisdom” (Psalm 90:12). A person who makes the most of his time understands the brevity of life. That person knows that soon our days, like our money, will be expended.

What are thirty pieces of silver in the light of eternity? Where is Judas’s money now? After Judas threw it into the temple, the priests collected it and used it to buy the field where Judas hanged himself. Where is Ananias and Sapphira’s money? Their greed bought them an early death (Acts 5). Where is Felix’s money? Felix kept asking Paul to come and speak to him in hopes of getting a bribe, but he never succeeded (Acts 24:26).

We must be so careful to keep our financial dealings open, clean, and eternal in value. The truth is, eighty years of life is not a very long time (Psalm 90:10)."
04-24,04-24,114,The Lord left certain nations in the land to test those Israelites who had not participated in the wars of Canaan. He did this to teach warfare to generations of Israelites who had no experience in battle. ,Judges 3:1-2,"We all have to face battles and trials. No one else can pass through our trials for us. The hour will surely come when we must face the enemy for ourselves. Parents, pastors, and counselors may shield us from warfare for a season, but the day will come when God allows us to walk into the battle alone. He does this so that we can testify of His faithfulness—a faithfulness that we have personally observed. Another reason He allows us to face the enemy is to see whether we will obey His commands (Judges 3:4).

Peter discovered that he had more “mouth” than “might” (Luke 22:33). As long as Jesus was around, he could really talk a good battle. However, the moment Jesus was gone, Peter denied that he even knew the Lord!

Your first “solo battle” may be a little shaky, and you may even fail. But take your licks, learn from the battle, and rejoice that the battle belongs to the Lord (1 Samuel 17:47)."
04-25,04-25,115,"Who will protect me from the wicked? Who will stand up for me against evildoers? Unless the Lord had helped me, I would soon have died. ",Psalm 94:16-17,"“Who will stand up for me against the evildoers?” This is a simple question, but God truly has a difficult time finding even one man who will be the first to take a stand against evil and injustice.

Deborah waited for Barak to have the courage to stand up against the evil oppression of Jabin and Sisera (Judges 4). Often we cry to God for relief from the enemy, but God is waiting for us to arise and get involved in the spiritual warfare. Deborah blessed those who took the lead and willingly offered themselves (5:2). In that crucial moment when God was delivering their enemy into their hands, some, like the Reubenites, stood back. Because they were so interested in their sheep, they were very indecisive. All they had was “great searchings of heart”

(5:16 KJV), but no action.

It is easy to remain seated in our comfort zones and analyze why we should let someone else fight the Lord’s battles. Today is the day God is defeating our enemies. Who among us will rise up first?"
04-26,04-26,116,"A servant girl noticed him in the firelight and began staring at him. Finally she said, “This man was one of Jesus’ followers!” Peter denied it. “Woman,” he said, “I don’t even know the man!” ",Luke 22:56-57,"Peter denied his identity when confronted about being a disciple of Christ. Jesus, on the other hand, boldly stood and declared His identity to the Sanhedrin: “You are right in saying that I am [the Son of God]” (Luke 22:70).

Gideon went through the process of learning boldness in his identity with God. “The angel of the Lord appeared to him and said, ‘Mighty hero, the Lord is with you!’ ” (Judges 6:12). Just three verses later, Gideon replied, “But Lord . . . how can I rescue Israel? My clan is the weakest in the whole tribe of Manasseh, and I am the least in my entire family!” (v. 15). Gideon’s natural inclination was to hide in the winepress, but his spiritual identity was that of a deliverer. After the test with the fleeces, he began to believe the report of the angel about himself. Gradually, Gideon realized that when God was with him, he could accomplish the impossible.

Stop looking at your old identity of weakness and fear. Believe that God has called and equipped you to win your battles. Fear and timidity are just weapons the enemy uses to intimidate you. Boldly confess to the world, to the devil, and to yourself: “I am who He says I am!”"
04-27,04-27,117,"For the Lord is coming to judge the earth. He will judge the world with justice, and the nations with fairness. ",Psalm 98:9,"Essential to the most basic faith in God is the belief that He is coming. From the time of Enoch, who Genesis 5:22 declares lived “in close fellowship with God,” faithful believers have understood that He is coming to judge everyone (Jude 14-15). The thief on the cross was saved just by saying, “Jesus, remember me when you come into your Kingdom” (Luke 23:42).

The Lord will return suddenly and swiftly to judge the ungodly. Just as Gideon descended with a trumpet blast in the night in sudden judgment upon Midian (Judges 7:19), Jesus will suddenly return with His saints to judge the world. If you are “faint, yet pursuing”

(8:4 KJV), keep up the fight. Your blessed hope as a believer is that the Lord will return not only to deliver you from this world but also to punish His enemies who have afflicted you.

Paul reminded the Philippian believers that “we are citizens of heaven, where the Lord Jesus Christ lives. And we are eagerly waiting for him to return as our Savior (Philippians 3:20). . . . Remember, the Lord is coming soon” (4:5). One day the Lord will descend from heaven, and our battle will be eternally over!"
04-28,04-28,118,The Lord is king! Let the nations tremble! He sits on his throne between the cherubim. Let the whole earth quake! ,Psalm 99:1,"The prayer of the psalmist for God to come and change the world was a bold one. The closing hours of Jesus’ life epitomized the answer to David’s prayers. Jesus’ slow and agonizing death on the cross caused the earth to convulse and quake. Even the sun refused to shine. The presence of the Lord was so awesome that the elements He had created were unable to function normally.

Even the guards shook when the Lord of Life came out of the tomb (Matthew 28:4). Mighty angels confronted the women who had come to anoint Jesus’ body, and Luke 24:5 says, “The women were terrified and bowed low before them.”

Who can stand in the presence of almighty God? His presence will shake anything and everything until all creation acknowledges that “the Lord reigns” (Psalm 99:1 NIV). When God came down on Mount Sinai, the earth and mountain began to quake and shake violently, and the mountain was engulfed in fire and smoke (Exodus 19:18).

God’s kingdom is the only kingdom that cannot be shaken or destroyed (Hebrews 12:28). Let the nations tremble under the Lordship of Christ. If the earth now shakes in His absence, what will it do when He personally appears?"
04-29,04-29,119,"Gaal was standing at the city gates when Abimelech and his army came out of hiding. When Gaal saw them, he said to Zebul, “Look, there are people coming down from the hilltops!” Zebul replied, “It’s just the shadows of the hills that look like men.” ",Judges 9:35-36,"Satan’s primary objective is to blind our eyes to the truth. Gaal could clearly see people attacking the city, but Zebul implied, “I know you see what you think you see, but what you see is not what you think!”

How does Satan work? He tries to get us to deny the reality of what we see about sin until it is too late. Once the deception is complete and it is too late to reverse it, he says to us, “Now where is that big mouth of yours? . . . Go out and fight them!” (Judges 9:38). Satan will mock for eternity those in hell that were deceived by him.

Jesus, on the other hand, is in the business of opening our minds. For the eleven disciples, He “opened their minds to understand” the Scriptures (Luke 24:45). When Jesus opens our eyes, we begin to recognize the dangers we did not even see before. “There is a path before each person that seems right, but it ends in death” (Proverbs 14:12). Lord, give us eyes to see!"
04-30,04-30,120,"Even in his own land and among his own people, he was not accepted. ",John 1:11,"Rejection cuts deeply into the soul of man. To be rejected by one’s own family and others can wound a person to the very core. Jephthah, son of a prostitute, knew what it was like to be rejected (Judges 11:2). His half brothers sent him away to the land of Tob simply because of his background. He had done nothing to deserve such rejection.

Often we are rejected because of factors beyond our control. Nevertheless, the pain of rejection makes us lash out at those who have hurt us, especially when they reach out to us for help later on. Our response is frequently like Jephthah’s: “Why do you come to me now, when you’re in trouble?” (Judges 11:7).

Jesus Christ knew the pain of rejection to the fullest. The entire nation turned its back on Him, for He was “despised and rejected—a man of sorrows, acquainted with bitterest grief” (Isaiah 53:3).

Have you ever come to your friends or family with a loving witness, only to have it flung back into your face? Love them anyway. One day, like Jephthah’s brethren, they will come knocking on your door. When they do, give them a glimpse of the love of Christ in you."
05-01,05-01,121,. . . The Spirit of the Lord began to take hold of him. ,Judges 13:25,"Samson’s whole ministry resulted from the Holy Spirit’s coming upon him in power (Judges 14:19). Without that power, he was weak and insignificant. Jesus’ ministry also began with the power He received from His baptism in the Holy Spirit (John 1:32). How dare we think that we can enter ministry and be effective for God without the same power released in us! If the Son of God never performed a miracle or preached a sermon without that power, we certainly should wait upon the Lord for it as well.

All ministry has its basis in the Person and power of the Holy Spirit as He enters our lives and brings us into a deeper dimension. The Holy Spirit stirred Samson. This stirring literally means “to agitate,” “to trouble,” and “to move.” Samson was moved from the normal pattern of life and into the role of delivering Israel from the Philistines. The inward stirring and agitation of God against the oppression of the enemy is where the power of God is released. Allow the Holy Spirit to come upon you now and stir you to fulfill your destiny!"
05-02,05-02,122,He picked up a donkey’s jawbone that was lying on the ground and killed a thousand Philistines with it. ,Judges 15:15,"Often we become so caught up in working for God that we fail to be refreshed by God. Samson killed a thousand men with a don-key’s jawbone. What a wonderful feat! However, in spite of this accomplishment, he cried out, “Must I now die of thirst and fall into the hands of these pagan people?” (v. 18). In other words, Samson had worked hard for God, but now he needed refreshing.

You may be mightily used of God in deliverance and yet be perishing from spiritual thirst. A burned-out minister is worthless to the Lord, regardless of his ministerial abilities. But God will hear your cry, like He did Samson’s, and open up a supernatural spring for you. Verse 19 says, “Samson was revived as he drank.” The psalmist said, “He fills my life with good things. My youth is renewed like the eagle’s!” (Psalm 103:5). Refreshing and renewal take place whenever you bless the Lord with all your soul.

Elijah killed the prophets of Baal and then was ready the next day to die and go to heaven. What is the secret of longevity in ministry and spiritual service? Lay down the “jawbone” every evening. Don’t pick it up again the next day until you have been to the refreshing fountain of worship!"
05-03,05-03,123,"So Micah ordained the Levite as his personal priest, and he lived in Micah’s house. “I know the Lord will bless me now,” Micah said, “because I have a Levite serving as my priest.” ",Judges 17:12-13,"How easily the flesh can concoct a religious scheme that appears to please God but in reality is a foolish spectacle! The Levite left the proper place of worship at the tabernacle and went out as a hired “priest” for an idol worshiper.

Religion drifts away from God and toward idolatry because of the love of power and money. The further religion deviates from God’s Word, the more accepted it is by society. Flesh gives birth to flesh, and soon a system of religion is developed that has nothing to do with the Word of God. “That which is born of the flesh is flesh; and that which is born of the Spirit is spirit” (John 3:6 KJV).

Jesus taught Nicodemus that knowing God was as simple as the Holy Spirit’s giving him a new birth (v. 8). Yet Nicodemus, in his human mind, wanted to make it more complicated. Our minds long to do something religious to earn salvation. If earning salvation is hard, you can be sure it’s the plan of man. If it is simple, it’s the truth of God.

Everyone can easily receive God’s salvation, for it is available to all. Don’t try to find God with your natural mind. Instead, follow the way of the Spirit!"
05-04,05-04,124,"So they went out to fight against the warriors of Benjamin, but the men of Benjamin killed another eighteen thousand Israelites, all of whom were experienced with a sword. ",Judges 20:24-25,"Is it possible to be doing the right thing and still seem to be losing the battle? The Lord himself had commissioned the men of Israel, saying, “Go out and fight against them” (Judges 20:23). The Israelites’ battle was in retaliation for Benjamin’s wickedness. You would think that God would have instantly given the Israelites victory. Instead, they were defeated twice before they finally prevailed!

How important it is not to interpret one lost battle as meaning that God is not with you! Satan may win a battle, but he won’t win the war. You are fighting the Lord’s battles, not your own. Casualties often occur in war, but victory is sure to come to the one who keeps inquiring of the Lord. Once, then twice, then a third time, the Israelites regrouped and sought the Lord. They knew their cause was just and that the war was not over until they had won.

Never doubt in the darkness what God told you in the light. If God told you to do something for Him, it will succeed. He knows the enemy’s strategy and will give you the victory in the end!"
05-05,05-05,125,"A truthful witness saves lives, but a false witness is a traitor. ",Proverbs 14:25,"The truth of this verse is illustrated in the lives of two women, Naomi and Ruth, who were delivered from spiritual darkness. In spite of all her problems, Naomi directed Ruth toward following the true and living God (Ruth 1:22). Naomi was a real witness to Ruth, because a true witness is always kind to the outcasts.

Ruth was a Moabitess, and God had cursed her people for fighting against Moses. As a result, they could not enter the house of God until the tenth generation (Deuteronomy 23:3). Naomi’s witness to Ruth ultimately led to Ruth’s marriage into the ancestral line of Jesus. The “outcast” became a “princess”!

Jesus was a truthful witness in His discussion with the woman at the well. He told her that she needed to repent of her five marriages and present adulterous relationship (John 4:18). Others may have talked about her, but only Jesus was truthful with her. His simple statement of truth set her free, and she received the Living Water.

Let us spend our lives harvesting a spiritual crop for eternal life. There are endless fields of souls needing to hear the truth, and they are “ready now for the harvest” (John 4:35)."
05-06,05-06,126,"And let fall also some of the handfuls of purpose for her, and leave them, that she may glean them, and rebuke her not. ",Ruth 2:16 KJV,"What would we do without the “handfuls of purpose,” which the Lord of the harvest intentionally leaves out for us? If Boaz had not instructed his men to drop some daily provision for Ruth, she and Naomi would have perished.

When our lives seem insignificant and full of drudgery and routine, we must remember that God has things working for us which we never imagined. Just when Ruth’s back felt like it was breaking and her bread bag was empty, she found a generous handful of purpose. Just when we think God has forgotten about us, He drops us a handful of purpose.

Joseph was languishing in an Egyptian prison. It seemed as though God had forgotten him and his life was destined to drudgery and misery. Then suddenly, out of nowhere, God dropped Joseph a handful of purpose in the dream of Pharaoh (Psalm 105:19).

God will drop little signs here and there to remind you of His sovereign direction and destiny for your life. Even in your struggles, all things are working together for good because you are called according to His purpose (Romans 8:28). Never forget: “Boaz” has his eyes upon you!"
05-07,05-07,127,"But he brought his people safely out of Egypt, loaded with silver and gold; there were no sick or feeble people among them. ",Psalm 105:37,"When the Israelites came out of Egypt, they were all miraculously healed of their infirmities, diseases, and slavery-related injuries. All walked out under their own power, and not a one faltered. Imagine the scope of such a miracle! Just by eating the Passover lamb, a nation of beaten, bruised, malnourished slaves received total, perfect health.

This miracle was a type of the healing purchased at Calvary by the Passover Lamb of God, Jesus Christ. In His ministry, He healed all who desired to be well. Jesus asked the man at the pool of Bethesda, “Would you like to get well?” (John 5:6). The Lord’s healing power was flowing to whoever would reach out and receive it.

Can you see that healing is available to you if you will only receive it? God is no respecter of persons. What He did for Israel, He will do for you. Remember how Hannah’s womb was supernaturally opened to conceive a son because she “asked the Lord for him” (1 Samuel 1:20). Thank Him today, and ask for the healing you need. It belongs to you!"
05-08,05-08,128,"But I will honor only those who honor me, and I will despise those who despise me. ",1 Samuel 2:30,"Eli had a hard time disciplining his sons because he was more concerned about their opinion of him than God’s opinion of him. So God asked him, “Why do you honor your sons more than me—for you and they have become fat from the best offerings of my people!”

(1 Samuel 2:29).

Christians should value God’s Word and His opinion far more than they value the opinion of man. Jesus rebuked the Jews because they made no effort to obtain the true praise that comes only from God. Instead, they were more concerned about receiving praise from one another (John 5:44).

Someone once said, “Never be concerned about what others think about you, because they don’t think about you!” In reality, most people really think primarily about themselves, and their opinions will not count when you stand before almighty God. The day will come when all men will be silent, and you alone will give an account for your choices and convictions. Where will your fans or critics be then?

If you place God’s opinion above all else, it may cost you a friend. However, at the final judgment, all eternity will record your integrity before Him. Stand firm in the truth, and honor God above anyone else, even family."
05-09,05-09,129,"Jesus soon saw a great crowd of people climbing the hill, looking for him. Turning to Philip, he asked, “Philip, where can we buy bread to feed all these people?” He was testing Philip, for he already knew what he was going to do. Philip replied, “It would take a small fortune to feed them!” Then Andrew, Simon Peter’s brother, spoke up. “There’s a young boy here with five barley loaves and two fish. . . .” ",John 6:5-9,"Are you a disciple of Philip or a disciple of Andrew? There were obvious differences in their answers when Jesus asked both of them what they should do about the hungry multitude. His question was merely a test of their faith.

Philip saw the facts. His whole perspective was intellectual and negative, without any regard for spiritual vision. Anyone can rehearse the facts to God, but the facts aren’t important to Him—He made the facts! Like Philip, the Israelites tested God’s patience on their journey through the wilderness (Psalm 106:14). They could see only the facts: no food, no water, and no meat. But Jesus was there all the time, ready to provide for whatever needs they had.

Andrew, on the other hand, saw the vision. He had a spiritual and positive perspective that allowed God to work miracles. Jesus is with you in the wilderness, and you, like Andrew, can believe in Him for miracles. He already knows what wonders He wants to perform on your behalf.

Will you be a disciple of Philip or of Andrew?"
05-10,05-10,130,"Samuel was very upset with their request and went to the Lord for advice. “Do as they say,” the Lord replied, “for it is me they are rejecting, not you. They don’t want me to be their king any longer.” ",1 Samuel 8:6-7,"God knows what rejection feels like because it happened to Him! An entire nation chose an earthly king over the privilege of having its government rest upon the shoulders of almighty God. Even in the New Testament, many who followed Jesus did so only for what He gave them to eat (John 6:34). They rejected His identity but wanted whatever benefits they could receive from Him. How that must have hurt Him! To be generous, loving, and giving to people and then be passed over as they choose someone else hurts deeply. The more love and resources we have given, the more it hurts.

Why would anyone embrace a human source and reject God? Jesus told those following Him, “I am the bread of life” (John 6:35). He is our source of acceptance and satisfaction forever. He knows exactly how it feels to be rejected. After a lifetime of love and giving, He was “despised and rejected” (Isaiah 53:3 KJV). When He was on the cross, the crowds mocked Him and turned their backs on Him.

Have you been rejected? Jesus knows the feeling of your infirmities (Hebrews 4:15). Run to Him and let His nail-pierced hands embrace you in perfect acceptance."
05-11,05-11,131,"Then Samuel took a flask of olive oil and poured it over Saul’s head. He kissed Saul on the cheek and said, “I am doing this because the Lord has appointed you to be the leader of his people Israel.” ",1 Samuel 10:1,"Samuel’s anointing of Saul provides insight into the nature of God’s anointing. The first thing that happened to Saul was that “God changed his heart” (v. 9). Samuel had told him, “You will be changed into a different person” (v. 6), and that is just what happened. The anointing of God upon your life changes you from “glory to glory” into the image of Jesus (2 Corinthians 3:18 KJV). Normally, you may be timid, but under the anointing, you will find yourself very bold.

Second, the anointing caused Saul to prophesy and worship (1 Samuel 10:10). The Holy Spirit will help you to worship God with your spirit and not just with your mind. Under the anointing, you might prophesy, like Saul did. Such prophecy comes up out of your spirit and produces a stronger word from God than your intellect could produce.

Finally, the anointing brought Saul a holy anger and power against the works of darkness (1 Samuel 11:6). A righteous indignation rose up within him, and he suddenly challenged the people to follow him to destroy the Ammonites.

Open your spirit today for fresh anointing. Then get ready to move into a new level of change, worship, and power!"
